seed-property-id,address,property-name,property-type,gfa,year-built,province,city,postal-code,geom,latitude,longitude,energy-star,site-eui,source-eui,total-ghg,ghgi
BBBC024182,6398 / 2118 University Boulevard / West Mall,Ponderosa East - Audain/Spruce,Residence Hall/Dormitory,10177.000342732800,2013,BC,Vancouver,V6T 1Z4,"(-123.25503540039062,49.26433563232422)",49.26433563232422,-123.25503540039062,,233.37535000000000,,273.31226121333300,26.85585020267780
BBBC006647,1984 West Mall,Geography,College/University,5525.0004596544,1925,BC,Vancouver,V6T1Z4,"(-123.25623321533203,49.265926361083984)",49.265926361083984,-123.25623321533203,,122.44555,,27.338641302575200,4.948165171280230
BBBC008486,2120 Cambie St,(6503) VPD - Cambie Building,Police Station,7989.692098003200,1993,BC,Vancouver,V5Z 4N6,"(-123.11368560791016,49.26637649536133)",49.26637649536133,-123.11368560791016,,247.1627,427.66025,155.813368,19.501779956137400
BBBC008921,1905 Ogden Ave,(5904) Vancouver Maritime Museum,Museum,2435.4977870592,1958,BC,Vancouver,V6J 1A3,"(-123.14688873291016,49.277103424072266)",49.277103424072266,-123.14688873291016,,261.0447,386.01425000000000,79.4175008,32.60829238530520
BBBC008342,4575 Clancy Loranger Way,(1295) Hillcrest Community Centre,Rec Centre (with Pool and Ice Rink),11401.789428633600,2009,BC,Vancouver,V5V 2T9,"(-123.1068344116211,49.24293899536133)",49.24293899536133,-123.1068344116211,,605.3814,930.2833000000000,736.8328032000000,64.62424996939960
BBBC006889,2125 Main Mall,Neville Scarfe,College/University,19381.9998423744,1962,BC,Vancouver,V6T1Z4,"(-123.25340270996094,49.26405715942383)",49.26405715942383,-123.25340270996094,,129.44965,,371.58089680920500,19.171424013823600
BBBC008609,4747 Dunbar St,(1553) Dunbar Community Centre,Rec Centre,4539.8956427712,1957,BC,Vancouver,V6S 2H2,"(-123.18827056884766,49.242820739746094)",49.242820739746094,-123.18827056884766,,166.61555000000000,211.03795,110.48827040000000,24.337159302674200
BBBC006451,2036 Main Mall,Chem East,College/University,3572.9998217280000,1959,BC,Vancouver,V6T1Z4,"(-123.25343322753906,49.26581954956055)",49.26581954956055,-123.25343322753906,,366.70565,,219.84195796187100,61.52861913796960
BBBC001562,2930 Virtual Way,Broadway Tech 5 (EPL),Office,7717.592100268800,2010,BC,Vancouver,V5M 0A5,"(-123.041074,49.261342)",49.261342,-123.041074,95,116.64035000000000,197.15595,75.6233902,9.79882274592926
BBBC008734,1261 Granville St,(7904) Granville Residence,Multifamily Housing,3038.8974576768,1919,BC,Vancouver,V6Z 1M5,"(-123.12747955322266,49.276695251464844)",49.276695251464844,-123.12747955322266,,233.28070000000000,472.08265000000000,28.7189784,9.450450700411670
BBBC006683,6224 Agricultural Road,Hennings,College/University,11428.000163308800,1945,BC,Vancouver,V6T1Z4,"(-123.25186920166016,49.266788482666016)",49.266788482666016,-123.25186920166016,,140.713,,210.145004759793,18.38858928860760
BBBC024281,2600-2804 Fairview Crescent,Fairview Crescent,Residence Hall/Dormitory,20069.9998083072,1985,BC,Vancouver,V6T 2B9,"(-123.23905181884766,49.2628059387207)",49.2628059387207,-123.23905181884766,,138.91465,,112.8548736,5.623057571662820
BBBC014555,621 West 57th Avenue,Langara Gardens - Complex,Multifamily Housing,56218.1453183232,1968,BC,Vancouver,V6P 6P5,"(-123.123341,49.217453)",49.217453,-123.123341,,274.9267,305.46710000000000,2581.6420086,45.92181929185770
BBBC008903,3032 Wall St,(1365) New Brighton Pool,Outdoor Pool,2191.7982486528,1970,BC,Vancouver,V5K 5J7,"(-123.03620147705078,49.28904342651367)",49.28904342651367,-123.03620147705078,,283.2559,299.91430000000000,96.863915,44.193767067778800
BBBC006969,6163 University Boulevard,Alumni Centre,College/University,4106.000355724800,2015,BC,Vancouver,V6T1Z4,"(-123.25032806396484,49.265933990478516)",49.265933990478516,-123.25032806396484,,152.67045,,64.49311192765350,15.707024824026600
